FS_method,Classifier,Top_k,F1_mean,F1_std,Accuracy_mean,Precision_mean,Recall_mean,AUC_mean
Boruta,SVM (RBF),70,0.5779768901835589,0.024026853583801785,0.5801564122691352,0.5818784193572226,0.5801564122691352,0.820179814691344
LASSO,SVM (RBF),70,0.5773945455330055,0.10808902344626048,0.5935260174734011,0.6262920258446776,0.5935260174734011,0.7556789706769763
Boruta,SVM (RBF),10,0.5772335402189307,0.13992455832666506,0.5834200262861595,0.5799458519840133,0.5834200262861595,0.7028368501783304
RFE_SVM,Logistic Regression,10,0.5750923526341906,0.008127343898183917,0.5773568965318704,0.578518461286749,0.5773568965318704,0.6279068186307447
LASSO,SVM (RBF),10,0.5719350307086658,0.08797260534784589,0.5764797462693072,0.5808540405167691,0.5764797462693072,0.800632160258076
ReliefF,SVM (RBF),70,0.5704391955890018,0.06717945274600907,0.5714508941808774,0.5709495383269088,0.5714508941808774,0.8772203764262176
ReliefF,SVM (RBF),90,0.5692317719490837,0.11112949731190531,0.5696319296868689,0.5720914502990272,0.5696319296868689,0.7630369873994681
ReliefF,SVM (RBF),30,0.5615265185976793,0.030309228728769462,0.5625279991233393,0.5618386674298108,0.5625279991233393,0.8139363886694911
RF_importance,SVM (RBF),50,0.5566794621623204,0.04736057788516766,0.5570315448038117,0.5567645085340517,0.5570315448038117,0.6852464273926286
Boruta,Logistic Regression,70,0.5424509620587762,0.009822018686691462,0.5426986414519402,0.5437281235904595,0.5426986414519402,0.7114151910954033
Boruta,Logistic Regression,90,0.5387712978449175,0.011349777550144062,0.5392430088813368,0.5406166358367642,0.5392430088813368,0.7323159846784301
Boruta,Logistic Regression,50,0.5358387567513633,0.012312213471077783,0.5358925772080533,0.5359927410452553,0.5358925772080533,0.6614074535486494
LASSO,SVM (RBF),90,0.5328955989815815,0.016664823929863196,0.534644445896188,0.5334914648983903,0.534644445896188,0.9005622810268145
RF_importance,Logistic Regression,90,0.5318788798050881,0.022008382643901425,0.5318820033851732,0.5334467711169433,0.5318820033851732,0.73194266064912
ReliefF,Logistic Regression,10,0.5263538960009876,0.020447743730513494,0.5272561647387668,0.5294303959933885,0.5272561647387669,0.5881519548877103
RF_importance,SVM (RBF),70,0.523612603116406,0.020042325213136085,0.5232193076647748,0.5254834016914466,0.5232193076647748,0.6924983880349016
ReliefF,Logistic Regression,70,0.5151102430611367,0.024543177960130263,0.5149645554120469,0.515388546591859,0.5149645554120469,0.6903135852874623
ReliefF,Logistic Regression,30,0.5128906431718134,0.022866371224936743,0.5128807035291659,0.5134916570717568,0.5128807035291659,0.6254011880171656
Boruta,Logistic Regression,10,0.512272331740045,0.04272616107131371,0.5126935607471435,0.5124324581238681,0.5126935607471435,0.5810219203521554
RF_importance,Logistic Regression,50,0.5097504537256748,0.02061602017392654,0.5094509895134162,0.5118699198916465,0.5094509895134162,0.6566096012667
LASSO,SVM (RBF),50,0.507193478955656,0.0628681326988578,0.5089828726207427,0.5090075078770451,0.5089828726207427,0.6371362388540308
RF_importance,Logistic Regression,30,0.5064938575639644,0.014640139954265292,0.5064033405669948,0.5068165025943334,0.5064033405669948,0.6213403987009994
ReliefF,Logistic Regression,50,0.5056574294388833,0.016868430915817276,0.5055946125739478,0.5060526623616634,0.5055946125739478,0.6643383723493838
RF_importance,Logistic Regression,10,0.5056520495179867,0.03372249237499218,0.5061904762080855,0.5060116662968578,0.5061904762080855,0.5757033605053397
LASSO,Logistic Regression,30,0.5027968079293009,0.0390373696227715,0.5025638980573924,0.5054639440567588,0.5025638980573924,0.6207989341716983
Boruta,Logistic Regression,30,0.5023049916349563,0.020193946560797874,0.5018820652737076,0.5055336101218572,0.5018820652737076,0.6312597241281775
ReliefF,Logistic Regression,90,0.5002125511824641,0.019751703543653642,0.5001361412970713,0.5011860682442691,0.5001361412970713,0.7212612298651294
mRMR,Logistic Regression,90,0.4974077097929426,0.01514868584312758,0.4972984956904039,0.49833279768030825,0.4972984956904039,0.7068403602629898
mRMR,Logistic Regression,30,0.49707381316907656,0.03620356670703813,0.49676897654644064,0.49767568907434107,0.49676897654644064,0.6120228891452192
RF_importance,Logistic Regression,70,0.495428712295382,0.02596034872764025,0.49495670153502735,0.49741787241607005,0.49495670153502735,0.6982820183358941
mRMR,SVM (RBF),90,0.49191010185905454,0.1884288206499865,0.5481769574071709,0.4653006162828343,0.5481769574071709,0.5405501466549537
mRMR,Logistic Regression,70,0.48555358160671536,0.016531514240578266,0.4852768800096501,0.4860910547293464,0.4852768800096501,0.6741012109314651
LASSO,Logistic Regression,70,0.48526198872958903,0.036504306231618766,0.4853631522896699,0.48624346799293616,0.4853631522896699,0.6744379521871425
